sample1,,
Wavelength (nm),Abs,
800.0111694,0.6588642597,
799.0076904,0.6590820551,
798.0038452,0.65783149,
796.9995117,0.6588611007,
795.9949341,0.658329308,
794.9899292,0.6579858065,
793.984375,0.65658319,
793.0132446,0.6563298702,
792.006897,0.655215919,
791.0003052,0.6547100544,
789.9932861,0.6557502151,
788.9857788,0.6542691588,
788.0126953,0.6551330686,
787.0044556,0.653716445,
785.9958496,0.6519873738,
784.9868164,0.6498413086,
784.012146,0.6509293914,
783.0023804,0.6524834037,
781.9921875,0.6501235962,
781.0164185,0.6499838233,
780.0053711,0.6507287025,
778.9940186,0.6493154168,
778.0170898,0.6488106251,
777.0049438,0.6490394473,
775.9924316,0.6493287086,
775.0144043,0.6479831934,
774.0010376,0.6477147937,
772.9873657,0.6477966905,
772.0081787,0.6465383768,
770.9937134,0.6451596618,
770.013855,0.6455782652,
768.9985962,0.6454213858,
767.9829102,0.6432748437,
767.0019531,0.6420487165,
765.9855347,0.641168952,
765.0037842,0.6420159936,
763.9865723,0.6404597759,
763.0040894,0.6392951608,
761.986145,0.6384632587,
761.0029297,0.6378124356,
759.9842529,0.6378205419,
759.0003052,0.6360484362,
758.0159912,0.6360250711,
756.9962158,0.6352248788,
756.0111084,0.6348563433,
754.9905396,0.6334086657,
754.0048218,0.6331506968,
752.9834595,0.6339993477,
751.9970093,0.6315165162,
751.0101929,0.6327787042,
749.9877319,0.6313479543,
749.0001221,0.6306889653,
748.0123291,0.6300406456,
746.9887085,0.629619956,
746.0001221,0.628621459,
745.0111084,0.6292346716,
743.9864502,0.627854228,
742.9967651,0.6269754171,
742.0066528,0.6269574165,
741.0162354,0.6263359189,
739.9901733,0.6261325479,
738.9990234,0.6248084903,
738.0075684,0.6253443956,
737.0157471,0.6241397262,
735.9881592,0.6242676377,
734.9956665,0.6230127811,
734.0028076,0.6216244102,
733.0095825,0.6228187084,
732.0159912,0.6213080883,
730.9865723,0.6222288013,
729.9923096,0.6205309033,
728.9977417,0.6208406091,
728.0027466,0.6201978922,
727.0075073,0.6195580363,
726.0118408,0.6193637848,
725.0158691,0.6189206243,
723.9839478,0.6189156771,
722.9873047,0.6178978682,
721.9902344,0.6174350977,
720.9928589,0.6165120602,
719.9951782,0.6152012348,
718.9971313,0.6148120761,
717.9987793,0.6146376729,
717,0.6130164862,
716.0009766,0.6122550964,
715.0015869,0.6105685234,
714.0018311,0.6106292605,
713.00177,0.6106327772,
712.0014038,0.6095820665,
711.0006104,0.6090621352,
709.9995117,0.6094620824,
708.9981079,0.6084999442,
707.9963379,0.6079726219,
706.9942627,0.608022809,
705.9918213,0.6073696017,
704.9891357,0.6077907681,
703.9859619,0.6072679758,
702.9825439,0.6069241166,
702.0146484,0.6074061394,
701.0106201,0.6077679992,
700.0061646,0.6069661975,
699.0014648,0.6067215204,
697.9963379,0.6065654159,
696.9909058,0.6076629162,
695.9852295,0.6100688577,
695.0151367,0.6121798754,
694.008728,0.6146742105,
693.0020752,0.6181774735,
691.9949951,0.6225705147,
690.9876709,0.6270474195,
690.0159912,0.6323266029,
689.0079956,0.6363120675,
687.9996338,0.6419141889,
686.9910278,0.6477614045,
686.0180054,0.6535739899,
685.0087891,0.6595132947,
683.9991455,0.6650577188,
682.9891968,0.6702791452,
682.0150757,0.6766729951,
681.0044556,0.6813613772,
679.9935303,0.686368227,
678.9824219,0.6899238825,
678.006958,0.6934174895,
676.9951172,0.6968220472,
675.9829712,0.7011891603,
675.0066528,0.7015942335,
673.9938965,0.7014802694,
673.0169678,0.7030356526,
672.0036011,0.7036278844,
670.9898682,0.702513814,
670.0120239,0.7039287686,
668.9976196,0.7029818296,
667.9829712,0.7024095058,
667.0042114,0.7010939121,
665.9889526,0.6982463598,
665.0096436,0.6948770881,
663.9937134,0.692112565,
663.013855,0.687199831,
661.9972534,0.6831299663,
661.0167847,0.6783574224,
659.9996338,0.6727670431,
658.9821777,0.6684845686,
658.0007324,0.6660064459,
656.9827271,0.6620954871,
656.0007324,0.6579661965,
654.9819946,0.6551264524,
653.9994507,0.6532394886,
653.0166016,0.6510120034,
651.9970093,0.6507311463,
651.0136108,0.6492956281,
649.9934082,0.6499384046,
649.0093384,0.6482650042,
647.9885254,0.6484192014,
647.0039673,0.6475771666,
645.982605,0.6464858651,
644.9973145,0.6464480162,
644.0119019,0.6456055045,
642.989624,0.6446815133,
642.00354,0.64312464,
641.0172119,0.6430491209,
639.9940186,0.6424173117,
639.0071411,0.6424195766,
637.9833984,0.6427165866,
636.9959106,0.6420128345,
636.0081177,0.640324235,
634.9835205,0.6411499977,
633.9951782,0.6402346492,
633.0065918,0.6391311288,
632.0177002,0.6387029886,
630.9918213,0.6376730204,
630.0024414,0.6376367211,
629.0126343,0.636262238,
627.9859619,0.6356429458,
626.9957275,0.6353718638,
626.005127,0.6346879005,
625.0142822,0.6338965297,
623.9865112,0.633186996,
622.9950562,0.6325480342,
622.003418,0.631475687,
621.0114746,0.6302244067,
619.9824219,0.6304662824,
618.9899292,0.6286411285,
617.9971924,0.6263827682,
617.0040894,0.6252126098,
616.0108032,0.6231264472,
615.0172119,0.6223712564,
613.9865112,0.6200869083,
612.9923706,0.6190856695,
611.9979858,0.6177419424,
611.0032959,0.6170063019,
610.0083008,0.6151009202,
609.0131836,0.6140764952,
608.0175781,0.6123477817,
606.9849854,0.6117987037,
605.9890137,0.6098130941,
604.9926758,0.6086112857,
603.9961548,0.6081064343,
602.9993286,0.6080893278,
602.0021362,0.6076254845,
601.0048218,0.6074204445,
600.0072021,0.6070607901,
599.0093384,0.6076959968,
598.0111694,0.6080909371,
597.0127563,0.6081877947,
596.0140991,0.6080622673,
595.0152588,0.6077664495,
594.0159302,0.6078771949,
593.0164795,0.608091712,
592.0167847,0.6091070175,
591.0167847,0.6087227464,
590.0165405,0.6090702415,
589.0160522,0.6075127721,
588.0153809,0.6080187559,
587.0142822,0.6076680422,
586.0130615,0.6071982384,
585.0115356,0.6065868139,
584.0097046,0.6061530709,
583.0076904,0.6057711244,
582.0053711,0.6055181623,
581.0028687,0.6042585969,
580,0.6036382318,
578.9969482,0.6030980945,
577.9936523,0.6023153067,
576.9901123,0.6024466753,
575.9862061,0.6013154984,
574.9821167,0.6006423235,
574.0150146,0.6001242995,
573.010437,0.5997747183,
572.0055542,0.5992648602,
571.0004883,0.5991185308,
569.9951782,0.5992610455,
568.989563,0.5988669395,
567.9837646,0.5989214182,
567.0149536,0.5987551212,
566.008667,0.5988736153,
565.0020752,0.5987665653,
563.9952393,0.5994899869,
562.9881592,0.6007325053,
562.0181274,0.6017410755,
561.0106201,0.6027500629,
560.0028076,0.6047858596,
558.994751,0.6059331894,
557.9865112,0.6072952747,
557.0152588,0.6090557575,
556.0065308,0.6106749177,
554.9974365,0.612603128,
553.9882813,0.6146913171,
553.0161133,0.6167188883,
552.0064087,0.6183511615,
550.9963989,0.6202217937,
549.9862061,0.6221190691,
549.0131836,0.6234285831,
548.0024414,0.62479496,
546.9915161,0.6262304783,
546.0178223,0.6280885339,
545.0064087,0.6304805875,
543.9946899,0.6316303015,
542.9828491,0.6334006786,
542.0082397,0.6340962648,
540.9959106,0.6341882348,
539.9832153,0.6363908648,
539.0079346,0.6375527382,
537.994873,0.6389547586,
536.9816284,0.6397334933,
536.0056152,0.641153574,
534.9918213,0.6429734826,
534.0153809,0.6434254646,
533.0011597,0.6444638371,
531.9866943,0.6457471251,
531.0096436,0.6474086046,
529.994751,0.6488565207,
529.0170898,0.647628963,
528.00177,0.6481470466,
526.9862061,0.6502835751,
526.0079956,0.6508774757,
524.9919434,0.6519429088,
524.0133057,0.652376771,
522.9967651,0.6542119384,
522.0177002,0.6554905772,
521.0007324,0.6564477086,
519.9835815,0.6579347253,
519.0038452,0.6587411165,
517.986084,0.6590194106,
517.0059814,0.6604911089,
515.987915,0.6622874141,
515.0073242,0.6632587314,
513.9888306,0.6641043425,
513.0078125,0.6648226976,
511.9888306,0.6667224765,
511.0073853,0.6682774425,
509.987915,0.6691460013,
509.006073,0.6699745059,
507.9862061,0.6723290682,
507.0039368,0.6742973924,
505.9836426,0.6766769886,
505.000946,0.6782433391,
504.0180359,0.6794807315,
502.9970093,0.6812742949,
502.0136719,0.6831858754,
500.9923401,0.6843869686,
500.008606,0.6867163181,
498.9867554,0.6886268258,
498.002594,0.6905553341,
497.0182495,0.6911744475,
495.9957886,0.6930949688,
495.0110474,0.69457376,
493.9881592,0.6959972382,
493.0029297,0.6970957518,
492.0175171,0.6963772774,
490.9940186,0.696521163,
490.0082397,0.6986538768,
488.984314,0.6989433169,
487.9980774,0.6983728409,
487.0116882,0.6984234452,
485.9870605,0.699639082,
485.0003052,0.7015707493,
484.0132751,0.700255692,
482.9880676,0.700822413,
482.0006714,0.7022091746,
481.013092,0.7034832835,
479.9872742,0.7051266432,
478.9992676,0.7064586878,
478.0110779,0.7078117728,
476.9846191,0.709151268,
475.9960022,0.7106541395,
475.0072021,0.71302104,
474.018219,0.7139529586,
472.9910278,0.7155385017,
472.0015869,0.7170653939,
471.0120239,0.7176972628,
469.9841919,0.7192463279,
468.9942322,0.719453752,
468.0040894,0.7205981612,
467.0137634,0.7209996581,
465.9851074,0.7218263745,
464.9943848,0.7225891948,
464.0034485,0.7233313322,
463.0122375,0.7235952616,
461.9828796,0.7238994837,
460.9913635,0.7247312665,
459.9996643,0.7241536379,
459.007782,0.7238348126,
458.0157471,0.7237569094,
456.985321,0.7237504721,
455.9928894,0.723379612,
455.0002747,0.7238425612,
454.0074158,0.7234936357,
453.0144348,0.7231298089,
451.9830322,0.7226622105,
450.9896851,0.7238730788,
449.9960938,0.7235611081,
449.0023804,0.7243626714,
448.0083618,0.7242910862,
447.0143433,0.725081563,
445.981781,0.7259563804,
444.9873047,0.7268586159,
443.9926147,0.7273045778,
442.9978333,0.7279239893,
442.0028076,0.7284831405,
441.0075684,0.7282289267,
440.012146,0.7281981111,
439.0166321,0.7295153141,
437.9825745,0.7300200462,
436.9866333,0.7306542397,
435.9905396,0.7307498455,
434.9942627,0.7309157848,
433.9978027,0.7302153707,
433.0011292,0.7300341129,
432.004364,0.7300243974,
431.0073547,0.7302273512,
430.0101318,0.7297250628,
429.0128479,0.7304872274,
428.0153503,0.7295258641,
427.0176697,0.7288646698,
425.9813843,0.729085505,
424.9833069,0.7280819416,
423.9851074,0.7281351686,
422.9867249,0.7282773852,
421.9881287,0.7283384204,
420.9894409,0.7277406454,
419.9905396,0.7276251912,
418.9914551,0.7272852659,
417.9921875,0.72787112,
416.9927368,0.7286633849,
415.9931946,0.7288971543,
414.9934082,0.7291775942,
413.9934692,0.7295585275,
412.9934082,0.7292919755,
411.9931335,0.7288863063,
410.9926758,0.7285299897,
409.9920959,0.7277679443,
408.991333,0.7270461321,
407.990387,0.7265532017,
406.9892883,0.725808382,
405.9880371,0.7249140143,
404.9865723,0.7237325907,
403.9849548,0.7227807045,
402.9832153,0.722389698,
401.9812927,0.7218211889,
401.0177307,0.7213246822,
400.0155029,0.7206140161,
399.0130615,0.7196602821,
398.010498,0.7193371654,
397.0077515,0.7187437415,
396.0048523,0.7181308866,
395.0018005,0.7176977992,
393.9985657,0.716740787,
392.9952087,0.7159499526,
391.9916382,0.7152087092,
390.9879761,0.7148841023,
389.9840698,0.7141091824,
389.0186768,0.7138034105,
388.0144958,0.7128462195,
387.0101929,0.7120168209,
386.0056763,0.7112188339,
385.0010376,0.7105908394,
383.9962158,0.7094880342,
382.991272,0.7093902826,
381.986145,0.7085345984,
380.980896,0.707259357,
380.0141296,0.7062880993,
379.0085449,0.7057501078,
378.0028381,0.7037914395,
376.9969177,0.7028827667,
375.9908752,0.7028617263,
374.9847107,0.7010375261,
374.0170593,0.7004462481,
373.0105591,0.7001544237,
372.0039368,0.6987618208,
370.9971313,0.6981898546,
369.9902039,0.6971380711,
368.9830933,0.6955783367,
368.0145569,0.6947999001,
367.0071716,0.6937265992,
365.9996338,0.6926731467,
364.9919434,0.691902101,
363.9841003,0.6918862462,
363.0148926,0.6906701922,
362.0067444,0.6907164454,
360.9985046,0.6914384365,
359.9900208,0.6912546754,
358.9814758,0.6911332011,
358.0115356,0.6900372505,
357.0026855,0.6912956238,
355.9936829,0.6908453703,
354.9845276,0.690923512,
354.0140686,0.6909930706,
353.0046082,0.6916334629,
351.9950562,0.6922204494,
350.985321,0.6934691668,
350.0142822,0.6937802434,
349.004303,0.6962493062,
347.9941406,0.697916925,
346.9838867,0.6988524199,
346.0122986,0.7003927231,
345.0017395,0.7021563053,
343.9910278,0.7044463754,
343.0190735,0.7059523463,
342.0080872,0.7082406878,
340.9969482,0.7098166347,
339.9857178,0.7106907368,
339.0132141,0.7126292586,
338.0016479,0.7137655616,
336.9899902,0.7144920826,
336.0171204,0.71479702,
335.005188,0.7151380777,
333.9931335,0.716216445,
332.980896,0.7176545858,
332.0074768,0.7173957825,
330.9949951,0.7180259824,
329.9823914,0.7184790969,
329.008606,0.7194111943,
327.9957275,0.7203428745,
326.9827271,0.720244348,
326.0085449,0.7207510471,
324.9952698,0.7216421366,
323.9818726,0.7223255038,
323.0073242,0.7242997885,
321.9936523,0.724164784,
321.0188599,0.7255051136,
320.0049438,0.7274202108,
318.9909058,0.7281170487,
318.0157166,0.7290979624,
317.0014343,0.7300884128,
315.9869995,0.7309415936,
315.0114441,0.7316911221,
313.9967651,0.7330338359,
312.9819336,0.7342022657,
312.006073,0.734985292,
310.9909973,0.7364091873,
310.0148315,0.7377156019,
308.9995422,0.739010334,
307.9840698,0.7401606441,
307.0075989,0.7418434024,
305.9919128,0.7437669635,
305.0151672,0.7457250357,
303.9992371,0.7474567294,
302.9831543,0.749730289,
302.006073,0.7514742017,
300.9898071,0.7545495033,
300.0124817,0.7572994828,
298.9959106,0.7601704597,
298.0183716,0.7625965476,
297.0016174,0.7650727034,
295.9847107,0.7687037587,
295.0068054,0.7719641924,
293.9896851,0.7754097581,
293.0115662,0.7791321278,
291.9941711,0.7832681537,
291.0158081,0.7864887714,
289.99823,0.7899999619,
288.9804993,0.7932400703,
288.0018311,0.7971866131,
286.9838867,0.8005951643,
286.0049438,0.8038654327,
284.9867859,0.8068709373,
284.0076904,0.8096897006,
282.9892578,0.8134889007,
282.0098877,0.8163594007,
280.991272,0.8187277913,
280.0117188,0.8211832643,
278.9928589,0.8242893815,
278.0130615,0.8260223269,
276.9940186,0.8280926943,
276.0140381,0.8307548165,
274.9946899,0.8320859671,
274.0144653,0.8346371055,
272.9949951,0.835775733,
272.0145569,0.8374813795,
270.9948425,0.8378477097,
270.0141907,0.8395707607,
268.9942322,0.8394311666,
268.0134277,0.8416116238,
266.9932556,0.842041254,
266.012207,0.8434670568,
264.9918213,0.8445439935,
264.0105896,0.8463258147,
262.9899902,0.8468059897,
262.0085449,0.8485632539,
260.9877319,0.8503398299,
260.0061035,0.8500290513,
258.9851074,0.8508384228,
258.0032349,0.8518019319,
256.9819946,0.8529080749,
255.9999695,0.8536477685,
255.0178223,0.8551650047,
253.9963226,0.8575149179,
253.0139923,0.8590525985,
251.9922485,0.8610979319,
251.0097046,0.8631218672,
249.9877472,0.8644952774,
249.0050354,0.8673704267,
247.9829407,0.870167017,
247.0000153,0.8699311614,
246.0170135,0.8731513023,
244.9945679,0.8736579418,
244.0113525,0.8760642409,
242.9887695,0.8761252761,
242.0053711,0.8804037571,
240.9825439,0.8801816106,
239.9989777,0.8855753541,
239.0153198,0.8854196072,
237.9922485,0.8868706822,
237.0083771,0.8926576972,
235.9850922,0.8882679343,
235.0010834,0.8947961926,
234.0169373,0.8803425431,
232.9933929,0.8627675176,
232.009079,0.8500221968,
230.9853363,0.8219730854,
230.0008392,0.7449519038,
229.0162964,0.6885938644,
227.9922638,0.530072391,
227.0074921,0.3822153807,
225.9833221,0.2530259192,
224.9984131,0.1828137785,
224.0134125,0.1343800724,
222.9889374,0.1739801615,
222.0037537,0.1520166397,
221.0185089,0.1655431539,
219.9937592,0.1655635834,
219.0083313,0.156220451,
217.9834137,0.1816871315,
216.9978027,0.1507866532,
216.012146,0.1606709659,
214.9869537,0.1557869464,
214.0011292,0.2007756233,
213.0151978,0.1584517956,
211.9897919,0.181921944,
211.0036774,0.2398481667,
210.0175323,0.1750593185,
208.9918365,0.1818995029,
208.0055237,0.1211277992,
207.0191193,0.1591026187,
205.9931946,0.1479633451,
205.0066223,0.1363493204,
203.9805298,0.1926055402,
202.9937897,0.2390369624,
202.0070038,0.2584638894,
200.9806519,0.2255710363,
199.9936981,0.2244159579,

